Json Question,Generator Question,Answer,Bleu Score
"Demirbaş Şarl, Rusları da kaç yılında Narva'da yendi?","Demirbaş Şarl, Rusları da ne zaman Narva'da yendi?",1700 yılında,0.4111336169005197
"Ne, bu kadar düşmana karşı savaşı sürdürmeye yetmedi?",Kim bu kadar düşmana karşı savaşı sürdürmeye yetmedi?,İsveç'in kaynakları,0.8408964152537145
"Kim, Osmanlı Devleti'ne sığınınca güneyde Prut Savaşı başladı?",kimin Osmanlı Devleti'ne sığınınca güneyde Prut Savaşı başladı?,1709 yılında Poltava'da bozguna uğrayan Demirbaş Şarl,0.8408964152537145
"1709 yılında Poltava'da bozguna uğrayan Demirbaş Şarl, ne yapınca güneyde Prut Savaşı başladı?","1709 yılında Poltava'da bozguna uğrayan Demirbaş Şarl, neyi güneyde Prut Savaşı başladı?",Osmanlı Devleti'ne sığınınca,0.676130446299448
Kimlerin Rusları 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Kimin Rusları 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Osmanlıların,0.912167909070388
Osmanlıların kimleri 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Osmanlıların neyi 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Rusları,0.842362674378975
Osmanlıların Rusları kaç yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Osmanlıların Rusları hangi yılda Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,1711 yılında,0.7016035864257111
Ne sona erdi?,neyi sona erdi?,Yarım asırdan fazla süredir devam eden İsveç yayılması,0.4518010018049224
Hangi ülke Baltık Denizi kıyılarında geniş bir kıyı parçası elde ettiler?,Kim müttefik ordusuna takviye ulaşmadan bu kanadı imha etmek istiyorlardı?,Ruslar,0.0
Ruslar nerelerde geniş bir kıyı parçası elde ettiler?,Ruslar ise nerede geniş kıyılarında geniş geniş bir Denizi kıyılarında geniş bir deniz genişliği yaşandı?,Baltık Denizi kıyılarında,0.05816635421147513
"Hangi vaka, 1703 yılında İstanbul'da başlayan, II. Mustafa ile hocası ve yakın danışmanı Şeyhülislam Feyzullah Efendi aleyhine gelişen büyük bir ayaklanmadır?","1703 yılında İstanbul'da başlayan, II. Mustafa ile hocası ve yakın danışmanı Şeyhülislam Feyzullah Efendi aleyhine gelişen büyük bir ayaklanmadır?",Feyzullah Efendi Vakası,0.9000876262522591
"Feyzullah Efendi Vakası kaç yılında İstanbul'da başlayan, II. Mustafa ile hocası ve yakın danışmanı Şeyhülislam Feyzullah Efendi aleyhine gelişen büyük bir ayaklanmadır?","Feyzullah Efendi Vakası, hangi yılda İstanbul'da başlayan, II. Mustafa ile hocası ve yakın danışmanı Şeyhülislam Feyzullah Efendi aleyhine gelişen büyük bir ayaklanmadır?",1703 yılında,0.7884044396805875
"Sultan II. Mustafa'nın nereden getirterek şeyhülislamlığa yükselttiği hocası Feyzullah Efendi, ayaklanmanın sebebi olduğu için olay, Feyzullah Efendi'nin ismiyle de anılmaya başladı?","Sultan II. Mustafa'nın neyden getirterek şeyhülislamlığa yükselttiği hocası Feyzullah Efendi, ayaklanmanın sebebi olduğu için olay, Feyzullah Efendi'nin ismiyle de anılmaya başladı?",Erzurum'dan,0.8656030552541708
"İsyancıların önderi konumundaki Patrona Halil, Sultan I. Mahmud'a olan bağlılığını bildirmiş olmakla birlikte, nelere müdahale etmekten vazgeçmiyordu?","İsyancıların önderi konumundaki Patrona Halil, Sultan I. Mahmud'a olan bağlılığını bildirmiş olmakla birlikte, neye müdahale etmekten vazgeçmiyordu?",devlet işlerine,0.8282477531331041
"Feyzullah Efendi'nin devlet işlerine karışarak terfi, tayin ve azil işlerinde aldırtdığı kararlar nedeniyle kimlerde rahatsızlık oluşturmaya başlamıştır?","Feyzullah Efendi'nin devlet işlerine karışarak terfi, tayin ve azil işlerinde aldırtdığı kararlar nedeniyle nerede rahatsızlık oluşturmaya başlamıştır?","saray çevresi, asker ve ulemada",0.8282477531331041
"Nerede hastalığı iyice artan II. Süleyman, 22 Haziran 1691 Cuma günü vefat etti?","nerede hastalığı iyice artan II. Süleyman, 22 Haziran 1691 Cuma günü vefat etti?",Edirne'de,0.912167909070388
"II. Mustafa'nın Edirne'de devlet işleriyle ilgilenmeyip ne yaparak devlet idaresinden uzak kalması, uzun süredir yaşanan ekonomik kriz ile devletin başkentinin Edirne'ye taşınacağı iddiaları da İstanbul halkının isyana katılma nedenlerini oluşturmuştur?","II. Mustafa'nın Edirne'de devlet işleriyle ilgilenmeyip neyi uğraşarak devlet idaresinden uzak kalması, uzun süredir yaşanan ekonomik kriz ile devletin başkentinin Edirne'ye taşınacağı iddiaları da İstanbul halkının isyana katılma nedenlerini oluşturmuştur?",avcılık ile uğraşarak,0.8743414417652072
"Hangi tarihte Şeyhülislam Feyzullah Efendi'nin etkinliğinden rahatsız olan bazı devlet erkanının yönlendirmesiyle gecikmiş ulufeleri bahane eden cebeciler, ayaklanma başlattı?","Ne zaman Şeyhülislam Feyzullah Efendi'nin etkinliğinden rahatsız olan bazı devlet erkanının yönlendirmesiyle gecikmiş ulufeleri bahane eden cebeciler, ayaklanma başlattı?",17 Temmuz 1703 tarihinde,0.8852140475440834
"Feyzullah Efendi Vakası, imlerin katılımıyla büyük bir isyana dönüştü?",Feyzullah Efendi Vakası; kimin katılımıyla büyük bir isyana dönüştü?,"yeniçerilerin, medrese talebelerinin ve İstanbul halkının",0.5133450480401704
"İstanbul'da denetimi ele geçiren isyancılar, sadrazamlığa Kavanoz Ahmed Paşa'yı, şeyhülislamlığa da kimi getirdiler?","İstanbul'da denetimi ele geçiren isyancılar, sadrazamlığa Kavanoz Ahmed Paşa'yı, şeyhülislamlığa da neyi getirdiler?",İmam Mehmed Efendi'yi,0.842362674378975
Kimler isteklerini bildirmek üzere Edirne'ye bir heyet gönderdiler?,Bir süre sonra kimin isteklerini bildirmek üzere Edirne'ye bir heyet gönderdiler?,isyancılar,0.5706745777055999
İsyancılar neden Edirne'ye bir heyet gönderdiler?,İsyancılar neyi bildirmek üzere Edirne'ye bir heyet gönderdiler?,isteklerini bildirmek üzere,0.3655552228545123
"İsyancıların isteklerinin bildirildiği heyet, Feyzullah Efendi'nin emriyle nerede tutuklandı?","isyancıların isteklerinin bildirildiği heyet, Feyzullah Efendi'nin emriyle nerede tutuklandı?",Havsa civarında,0.8633400213704505
Saraya yönelen topluluk Sultan İbrahim'i nereden indirmek için harekete geçti?,saraya yönelen topluluk Sultan İbrahim'i nereden indirmek için harekete geçti?,tahttan,0.8801117367933934
II. Süleyman'ın ölümünden sonra II. Süleyman yerine II. Ahmed nereye geçmiştir?,II. Süleyman'ın ölümünden sonra II. Süleyman yerine II. Ahmed neye geçmiştir?,tahta,0.8070557274927981
"Mustafa Kemal Paşa'nın nereye dönmesinden sonra Ali Fuat Paşa, emrindeki 20. Kolordu'yu teçhizatıyla birlikte önce Konya'ya sonra da Ankara'ya getirerek İstiklal Savaşı hazırlıklarına başladı ?","Mustafa Kemal Paşa'nın nereye dönmesinden sonra Ali Fuat Paşa, emrindeki 20. Kolordu'yu teçhizatıyla birlikte önce Konya'ya sonra da Ankara'ya getirerek İstiklal Savaşı hazırlıklarına başladı?",İstanbul'a,0.9164506531533457
14 Eylül'de İstanbul'a ulaşan III. Ahmet giderek daha şiddetli ve sert tedbirler alarak devlet idaresini kimlerin elinden kurtarmaya başladı?,"kimin isteklerinin bildirildiği heyet, Feyzullah Efendi'nin emriyle Havsa civarında tutuklandı?",isyancıların,0.0
Hangi yılın ilk aylarında Padişah III. Ahmet egemen olabildi?,İhtilal ordusu Silivri'ye geldiklerinde II. Mustafa'nın tahttan indirilip öz kardeşi Ahmed'in tahttan indirilip öz kardeşi Ahmed'in tahta geçirilmesi için ne yaptı?,1704'ün,0.0
Hangi antlaşma 1578-1590 tarihlerindeki Osmanlı-Safevî Savaşı'nı sona erdirmiştir?,Hangi antlaşma İstanbul'da imzalanmıştır?,Ferhat Paşa Antlaşması,0.11752701606523268
Ferhat Paşa Antlaşması hangi iki devlet arasında imzalanmıştır?,"Ferhat Paşa Antlaşması, III. Murat döneminde, 21 Mart 1590 tarihinde, hangi devlet arasında imzalanmış bir barış antlaşmasıdır?",Osmanlı Devleti'yle Safevi Devleti arasında,0.06839596061560943
Ferhat Paşa Antlaşması hangi döneminin ilk antlaşmasıdır?,Ferhat Paşa Antlaşması hangi dönemin ilk antlaşmasıdır?,duraklama döneminin,0.488923022434901
Ferhat Paşa Antlaşması sonucunda nereler Osmanlılara bırakıldı?,Ferhat Paşa Antlaşması sonucunda hangi devletler Osmanlılara bırakıldı?,"Tebriz, Karabağ, Gürcistan, Dağıstan ve Şirvan",0.4111336169005197
"Ferhat Paşa Antlaşması, III. Mehmet döneminde kimler tarafından ihlal edilmiştir?","Ferhat Paşa Antlaşması, III. Mehmet döneminde, kim tarafından ihlal edilmiştir?",Safeviler,0.5253819788848316
İzvança Antlaşması 1672-1676 yıllarındaki hangi savaşı sona erdirmiştir?,"İzvança Antlaşması, 1672-1676 yıllarındaki hangi savaşı sona erdirmiştir?",Osmanlı-Lehistan Savaşı'nı,0.7071067811865475
"Hotin Antlaşması'na göre, neler yıkılacak?","Hotin Antlaşması'na göre, hangi kaleler yıkılacak?",Osmanlı sınırlarına inşa edilen Leh kaleleri,0.32466791547509893
Lehliler nereye ait Hotin kalesini 1617'de işgal etmişlerdi?,"Lehliler, kime ait Hotin kalesini 1617'de işgal etmişlerdi?",Boğdan'a,0.6803749333171202
"Hotin Antlaşmasına göre, Lehistan; nerelerin iç işlerine müdahale etmeyecektir?","Hotin Antlaşmasına göre, Lehistan; hangi ülkelerin iç işlerine müdahale etmeyecektir?","Erdel, Eflak ve Boğdan'ın",0.5253819788848316
I. Mahmud'un neyi II. Mustafa'dır?,I. Süleyman 1520 yılında kim tahta çıktı?,babası,0.06567274736060397
"I. Bayezid'in babası Sultan I. Murad, nesi ise Gülçiçek Hatun'dur?","I. Bayezid'in babası Sultan I. Murad, neyi Gülçiçek Hatun'dur?",annesi,0.5911602603314157
I. Abdülhamid'in annesi kimdir?,I. Abdülhamid'in annesi kimdir?,Rabia Şermi Kadın,1.0
"Kim, siyasî ve askerî ıslahatlara girişti?",Kim siyasî ve askerî ıslahatlara girişti?,Sultan I. Abdülhamid,0.7598356856515925
"Sultan I. Abdülhamid, hangi ıslahatlara girişti?","Sultan I. Abdülhamid, neye girişti?",siyasî ve askerî ıslahatlara,0.3498330125272252
"I. Abdülhamid, bugün İstanbul Teknik Üniversitesi olarak bilinen okulu kurup nereye ve donanmaya yeni bir çehre kazandırmaya çalıştı?","I. Abdülhamid, bugün İstanbul Teknik Üniversitesi olarak bilinen okulu kurup kime ve donanmaya yeni bir çehre kazandırmaya çalıştı?",Yeniçeri Ocağı'na,0.8394327083733336
"Düzenleme faaliyetlerini yürüten Sadrazam Halil Hamit Paşa, kimler tarafından padişaha şikâyet edildi?","Düzenleme faaliyetlerini yürüten Sadrazam Halil Hamit Paşa, kimin tarafından padişaha şikâyet edildi?",menfaati bozulanlar tarafından,0.7348889200874658
"Kimi devirerek onun yerine Selim'i tahta çıkarmak istediği suçlamasıyla yaptığı tüm olumlu çalışmalara rağmen Halil Hamit Paşa, Sultan I. Abdülhamid'in emriyle idam edildi?","kimin devirerek onun yerine Selim'i tahta çıkarmak istediği suçlamasıyla yaptığı tüm olumlu çalışmalara rağmen Halil Hamit Paşa, Sultan I. Abdülhamid'in emriyle idam edildi?",Sultan Abdülhamid'i,0.9533589351059683
"I. Abdülhamid, kaç yılında İstanbul yangınında itfaiye çalışmalarına katılmasından dolayı halkın sevgi ve takdirini kazanmıştı?","I. Abdülhamid, hangi yılda İstanbul yangınında itfaiye çalışmalarına katılmasından dolayı halkın sevgi ve takdirini kazanmıştı?",1782 yılında,0.7487402156832422
Kim tahta çıktığında I. Mustafa'nın hayatına dokunulmadı?,Kim tahta çıktığında tek erkek kardeşi olarak bulunan I. Mustafa'nın hayatına dokunulmadı?,I. Ahmed,0.30661487102926754
Saltanat hazinesini boşaltacak hale getiren davranışları ile kim dikkat çekiyordu?,Kim saltanat hazinesini boşaltacak hale getiren davranışları ile dikkat çekiyordu?,I. Mustafa,0.5814307369682193
IV. Murad kaç yaşında vefat etmiştir?,IV. Murad kaç yaşında vefat etti?,27 yaşında,0.7598356856515925
I. Mahmud divan edebiyatında hangi mahlasını kullanırdı?,I. Mahmud'un divan edebiyatında kullandığı mahlası nedir?,Sebkati,0.14535768424205484
I. Mustafa devlet meseleleri ile ilgilenmediğini ifade ederek neyi kabul etmedi?,"I. Mustafa devlet meseleleri ile ilgilenmediğini ifade etti, neyi kabul etmedi?",saltanatı,0.7016879391277372
"Ne 30 Eylül 1730 tarihinde başlamıştır, 13 Aralık 1754 tarihinde sona ermiştir?","Kim 30 Eylül 1730 tarihinde başlamıştır, 13 Aralık 1754 tarihinde sona ermiştir?",I. Mahmud'un saltanatı,0.9036020036098448
Hanedanın en kıdemli erkek üyesi olması bakımından kimin tahta çıkarılmasına karar verildi?,"I. Ahmed öldüğünde, hanedanın en kıdemli erkek üyesi olması bakımından kimin tahta çıkarılmasına karar verildi?",I. Mustafa'nın,0.7012055133086459
I. Mustafa kaç kere tahta çıktı?,I. Mustafa kaç kere tahta çıkmıştır?,iki kere,0.7598356856515925
I. Mustafa'nın ilk saltanatı ne kadar sürdü?,I. Mustafa'nın ilk saltanatı kaç gün sürdü?,96 gün,0.4347208719449914
I. Mustafa'nın ikinci saltanatı ne kadar sürdü?,I. Mustafa'nın ikinci saltanatı kaç gün sürdü?,1 yıl 3 ay 22 gün,0.4347208719449914
Kimlerin ısrarıyla I. Mustafa padişah yapıldı?,I. Mustafa neden padişah yapıldı?,Psikolojik rahatsızlığının zamanla geçeceğini savunanların ısrarıyla,0.24736929544091937
Genç Osman neden tahta çıkmadı?,"I. Ahmed öldüğünde, Mahfiruz Hatice Sultan'dan doğma olan en büyük oğlu Genç Osman neden tahta çıkmadı?",13 yaşında olduğu için,0.22894156860669912
Hangi bakımdan I. Mustafa'nın tahta çıkarılmasına karar verildi?,"I. Ahmed öldüğünde, I. Ahmed öldüğünde, kimin bakımından I. Mustafa'nın tahta çıkarılmasına karar verildi?",hanedanın en kıdemli erkek üyesi olması bakımından,0.3498761149110956
Kim 13 yaşında olduğu için tahta çıkmadı?,"I. Ahmed öldüğünde, kim 13 yaşında olduğu için tahta çıkmadı?",Mahfiruz Hatice Sultan'dan doğma olan en büyük oğlu Genç Osman,0.5169731539571706
Sultan I. Mustafa nerenin en yaşlı mensubu olarak tahta geçti?,"Sultan I. Mustafa, ağabeyi Sultan I. Ahmed'in vefatı üzerine 22 Kasım 1617'de kimin en yaşlı mensubu olarak tahta geçti?",hanedanın,0.28051550320162943
I. Mustafa ne olarak tahta geçti?,"Sultan I. Mustafa, ağabeyi Sultan I. Ahmed'in vefatı üzerine 22 Kasım 1617'de neyi tahta geçti?",hanedanın en yaşlı mensubu olarak,0.05816635421147513
"I. Mustafa devlet işleri ile ilgilenmeyip, devlet işlerini kime teslim etmek istedi?","I. Mustafa devlet işleri ile ilgilenmeyip, devlet işlerini nereye teslim etmek istedi?",ehline,0.7348889200874658
"I. Mustafa, ne zaman tahttan indirildi, yerine II. Osman geçti?","I. Mustafa, ne zaman tahttan indirildi?",tahta çıktıktan 96 gün sonra 26 Şubat 1618 günü,0.39011264866539486
Yeniçeriler II. Osman'ı tahttan hangi tarihte indirdiler?,Yeniçeriler II. Osman'ı tahttan ne zaman indirdiler?,19 Mayıs 1622 tarihinde,0.4347208719449914
Kimler 19 Mayıs 1622'de II. Osman'ı tahttan indirdiler?,Kim II. Osman'ı tahttan indirdiler?,Yeniçeriler,0.3670124608961283
Genç Osman'ın kimler tarafından öldürülmesinden dolayı I. Mustafa tekrar tahta çıktı?,Genç Osman'ın kim tarafından öldürülmesinden dolayı I. Mustafa tekrar tahta çıktı?,isyancılar tarafından,0.7419446627365011
"I. Mustafa, Davut Paşa'yı azletmesine rağmen ne durmadı?","I. Mustafa, Davut Paşa'yı azletti ancak neyi durmadı?",isyanlar,0.3655552228545123
Osmanlı Devleti'nin başında devlet işlerinden anlayan ve bunu yapmak isteyen bir padişahın bulunmasını gerekli kılan neydi?,neyi Osmanlı Devleti'nin başında devlet işlerinden anlayan ve bunu yapmak isteyen bir padişahın bulunmasını gerekli kılıyordu?,İstanbul'da oluşan karışıklıklar ve Anadolu'da meydana gelen isyanlar,0.861173529963367
Kimler I. Mustafa'nın yerine IV. Murad'ın tahta geçmesi konusunda karara vardı?,Kim I. Mustafa'nın yerine IV. Murad'ın tahta geçmesi konusunda karara vardı?,Şeyhülislâm Yahya Efendi ve devlet erkânı,0.8931539818068694
I. Mustafa neden 1.5 daha hüküm sürdükten sonra tahttan indirildi?,I. Mustafa 1.5 yıl daha hüküm sürdükten sonra ne için 10 Eylül 1623 tarihinde Şeyhülislam'ın fetvası ile tekrar tahttan indirilip yerine 11 yaşındaki diğer yeğeni ve Kösem Sultan'ın oğlu olan IV. Murat geçirildi?,akıl sağlığı bozuk olduğu için,0.08984797156831857
IV. Murad kimin tesiriyle tahta çıktı?,"IV. Murad, Bağdat fatihi olarak anılan IV. Murad 11 yaşında tahta çıktı fakat idare annesi kimdir?",Kösem Sultan'ın,0.054129891865452646
"III. Osman, I. Mahmut'un aksine müziği sevmez ve kimlere iltifat etmezdi?","III. Osman, I. Mahmut'un aksine müziği sevmez ve kime iltifat etmezdi?",kadınlara,0.7419446627365011
I. Mustafa ne zaman Topkapı Sarayı'nda geçirdiği bir sara krizi nedeniyle öldüğü sanılmaktadır?,"I. Mustafa, hangi tarihte Topkapı Sarayı'nda geçirdiği bir sara krizi nedeniyle öldüğü sanılmaktadır?",20 Ocak 1639 günü,0.6652049901111008
İki defa tahta çıkan I. Mustafa nelere altın atıyor?,İki defa tahta çıkan I. Mustafa neye altın atıyor?,denizdeki balıklara,0.6606328636027614
I. Mustafa kimlere para dağıtıyordu?,"İki defa tahta çıkan I. Mustafa denizdeki balıklara altın atıyor, kime para dağıtıyordu?",karşısına çıkanlara,0.08737167851715875
"I. Mustafa, oturduğu köşkün önünde ne zaman oyunculardan birini çok beğendiği için ona, saray hazinesinin en kıymetli mücevherlerini pencereden atmıştı?","I. Mustafa, oturduğu köşkün önünde hangi oyunu oynatıp seyrederken oyunculardan birini çok beğendiği için ona, saray hazinesinin en kıymetli mücevherlerini pencereden atmıştı?",orta oyunu oynatıp seyrederken,0.7245511487202049
"I. Mustafa, oturduğu köşkün önünde orta oyunu oynatıp seyrederken oyunculardan birini çok beğendiği için ona, nerenin en kıymetli mücevherlerini pencereden atmıştı?","I. Mustafa, oturduğu köşkün önünde orta oyunu oynatıp seyrederken oyunculardan birini çok beğendiği için ona, kimin en kıymetli mücevherlerini pencereden atmıştı?",saray hazinesinin,0.8656030552541708
II. Ahmed'in saltanatı hangi tarihte bitmiştir?,II. Ahmed'in saltanatı hangi tarihte sona ermiştir?,6 Şubat 1695,0.6147881529512643
25 yaşında kim tahta geçmiştir?,Kim 8 Şubat 1640'ta ağabeyi IV. Murad'ın ölümü üzerine 25 yaşında ve 18. padişah olarak Osmanlı tahtına çıktı?,Sultan İbrahim,0.0429538241783181
II. Süleyman'ın saltanatı kaç yıl sürmüştür?,II. Süleyman'ın saltanatı 8 Kasım 1687'de başlayıp kaç yıl sürmüştür?,4 yıl,0.26269098944241576
II. Mustafa'nın saltanatı hangi tarihte sona ermiştir?,II. Mustafa'nın saltanatı hangi tarihte bitmiştir?,22 Ağustos 1703,0.6431870218238024
"II. Osman, divan edebiyatındaki mahlasıyla Farisî, tahttan indirildikten sonraki adıyla ne, 3 Kasım 1604 tarihinde İstanbul'da doğdu, 20 Mayıs 1622'de İstanbul'da öldü?","II. Osman, divan edebiyatındaki mahlasıyla Farisî, tahttan indirildikten sonraki adıyla kim, 3 Kasım 1604 tarihinde İstanbul'da doğdu, 20 Mayıs 1622'de İstanbul'da öldü?",Osman Çelebi,0.8725129388059689
"II. Osman, divan edebiyatındaki mahlasıyla Farisî, tahttan indirildikten sonraki adıyla Osman Çelebi, hangi tarihte İstanbul'da doğdu, 20 Mayıs 1622'de İstanbul'da öldü?","II. Osman, divan edebiyatındaki mahlası Farisî, tahttan indirildikten sonraki adıyla Osman Çelebi, hangi tarihte İstanbul'da doğdu, 20 Mayıs 1622'de İstanbul'da öldü?",3 Kasım 1604 tarihinde,0.8656030552541708
"II. Osman, divan edebiyatındaki mahlasıyla Farisî, tahttan indirildikten sonraki adıyla Osman Çelebi, 3 Kasım 1604 tarihinde İstanbul'da doğdu, hangi tarihte İstanbul'da öldü?","II. Osman, divan edebiyatındaki mahlası Farisî, tahttan indirildikten sonraki adıyla Osman Çelebi, 3 Kasım 1604 tarihinde İstanbul'da doğdu, hangi tarihte İstanbul'da öldü?",20 Mayıs 1622'de,0.8725129388059689
II. Osman kaç yaşında iken Osmanlı tahtına oturdu?,"II. Osman kaç yaşında iken, amcası Sultan I. Mustafa'nın tahttan indirilmesi üzerine Osmanlı tahtına oturdu?",14 yaşında,0.23793665482062612
"Kimin tahttan indirilmesi üzerine II. Osman, Osmanlı tahtı oturdu?","II. Osman, amcası kimin tahttan indirilmesi üzerine Osmanlı tahtına oturdu?",Sultan I. Mustafa'nın,0.21364350319811704
"II. Osman, amcası Sultan I. Mustafa'nın tahttan indirilmesi üzerine nereye oturdu?","Sultan İbrahim, 8 Şubat 1640'ta ağabeyi IV. Murad'ın ölümü üzerine 25 yaşında ve 18. padişah olarak nereye çıktı?",Osmanlı tahtına,0.028265205879007455
II. Osman ne gördü?,II. Osman neyi gördü?,iyi bir terbiye ve tahsil,0.3535533905932738
II. Osman kimlerle evlendi?,"II. Osman, Fatih Sultan Mehmed devrine kadar yapıldığı gibi saray dışından, kimler ile evlendi?",Şeyhülislam Es'ad Efendinin ve Pertev Paşa'nın kızları ile,0.03377156414337853
"II. Osman ayaklanmada öldürülen ilk padişahtır, kimlerin arasında en genç vefat edenidir?","II. Osman ayaklanmada öldürülen ilk padişahtır, kimler arasında en genç vefat edenidir?",Osmanlı padişahları,0.7348889200874658
Dinyester ırmağı hangi iki ülke arasında sınır oluşturuyordu?,"Dinyester ırmağı, kimler arasında sınır oluşturuyordu?",Osmanlı ve Lehistan,0.23263472697663287
Hangi savaşlarda Lehistan ilişkileri gerginleşti?,hangi savaşlarda Lehistan ilişkileri gerginleşti?,Osmanlı-Avusturya savaşlarında,0.668740304976422
Askeri birliklerin geçimini Lehistan'a yaptığı akınlarla sağlayan kimdi?,Hangi ülke Lehistan'a yaptığı akınlarla askeri birliklerinin geçimini sağlıyordu?,Kırım Hanı,0.19070828081828378
Lehliler Hotin kalesini hangi yılda işgal etmişlerdi?,"Lehliler, Boğdan'a ait Hotin kalesini hangi yılda işgal etmişlerdi?",1617'de,0.5873949094699213
Lehliler hangi ülkelerin içişlerine müdahale ediyorlardı?,"Lehliler, kimin içişlerine müdahale ediyorlardı?",Eflak ve Erdel'in,0.32555630133216146
"Kimler Prut kıyısında bulunan Yaş'ta, Lehlileri eylül 1620'de bozguna uğratmıştı?","Kim Prut kıyısında bulunan Yaş'ta, Lehlileri eylül 1620'de bozguna uğratmıştı?",Özi Beylerbeyi İskender Paşa komutasındaki birlikler,0.8801117367933934
"Özi Beylerbeyi İskender Paşa komutasındaki birlikler, Lehlileri nerede eylül 1620'de bozguna uğratmıştı?","Özi Beylerbeyi İskender Paşa komutasındaki birlikler, nerede Lehlileri eylül 1620'de bozguna uğratmıştı?",Prut kıyısında bulunan Yaş'ta,0.6636154805687886
"II. Osman, 1621'de hangi sefere çıktı?","II. Osman, 1621'de hangi seferine çıktı?",Lehistan Seferine,0.537284965911771
"29 Eylül 1621 tarihinde hangi ülkeler, Hotin Antlaşması yaparak sefere son verdi?","29 Eylül 1621 tarihinde hangi ülke, Hotin Antlaşması yaparak sefere son verdi?",Osmanlı ile Lehistan,0.7348889200874658
"Hangi antlaşmaya göre, kimler birbirlerinin topraklarına saldırmayacak?","Hotin Antlaşması'na göre; kimler birbirlerinin topraklarına saldırmayacak, Lehistan eskiden olduğu gibi Kırım Hanı'na 40.000 düka altın verecekti?",Lehler ve Osmanlılar,0.08513012360883548
"II. Osman, artık iyice bozulmaya başlayan ve her geçen gün nerenin başına iş açan yeniçeri ve sipahi ocaklarını ortadan kaldırmak, yeniçeri ve sipahi ocakları yerine Anadolu, Suriye ve Mısır Türkleri'nden oluşan yeni bir ordu kurmak istiyordu?",Ancak yapılan antlaşma kimin çöküşünü getirebilecek ağırlıktaydı?,devletin,0.0
"II. Osman, artık iyice bozulmaya başlayan ve her geçen gün devletin başına iş açan neleri ortadan kaldırmak, yeniçeri ve sipahi ocakları yerine Anadolu, Suriye ve Mısır Türkleri'nden oluşan yeni bir ordu kurmak istiyordu?","II. Osman, artık iyice bozulmaya başlayan ve her geçen gün devletin başına iş açan hangi ocakları ortadan kaldırmak, yeniçeri ve sipahi ocakları yerine Anadolu, Suriye ve Mısır Türkleri'nden oluşan yeni bir ordu kurmak istiyordu?",yeniçeri ve sipahi ocakları,0.8901732118131125
"II. Osman, artık iyice bozulmaya başlayan ve her geçen gün devletin başına iş açan yeniçeri ve sipahi ocaklarını ortadan kaldırmak, yeniçeri ve sipahi ocakları yerine Anadolu, Suriye ve Mısır Türkleri'nden oluşan ne kurmak istiyordu?","II. Osman, artık iyice bozulmaya başlayan ve her geçen gün devletin başına iş açan yeniçeri ve sipahi ocaklarını ortadan kaldırmak, yeniçeri ve sipahi ocakları yerine Anadolu, Suriye ve Mısır Türkleri'nden oluşan hangi ordu kurmak istiyordu?",yeni bir ordu,0.9016857283765338
Hangi devletin topraklarından vazgeçtiğini bildirdiği ilk antlaşma Nasuh Paşa Antlaşması'dır?,kimin topraklarından vazgeçtiğini bildirdiği ilk antlaşma Nasuh Paşa Antlaşması'dır?,Osmanlı İmparatorluğu'nun,0.7725505949016372
"II. Osman, ney, İstanbul'dan Anadolu'ya, büyük olasılıkla bir Türk şehri olan Bursa'ya taşımak istedi?","II. Osman, neyi İstanbul'dan Anadolu'ya, büyük olasılıkla bir Türk şehri olan Bursa'ya taşımak istedi?",Osmanlı İmparatorluğu'nun başkentini,0.8091067115702212
"II. Osman, Osmanlı İmparatorluğu'nun başkentini nereden Anadolu'ya taşımak istedi?","II. Osman, Osmanlı İmparatorluğu'nun başkentini hangi ülkeden Anadolu'ya taşımak istedi?",İstanbul'dan,0.5253819788848316
Haziran 1855'te Sivastopoldaki güçlerin üzerindeki baskıyı hafifletmek için İmparator II. Alexander ve General Muravyov önderliğindeki Rus birlikleri nereye yönelmeye karar verdiler ?,Haziran 1855'te Sivastopoldaki güçlerin üzerindeki baskıyı hafifletmek için İmparator II. Alexander ve General Muravyov önderliğindeki Rus birlikleri kime yönelmeye karar verdiler?,Anadolu'ya,0.7904163506439202
II. Osman hangi sınıfın devlet üzerindeki etkilerini yok etmek istedi?,"II. Osman, hangi sınıfın artık yozlaşmaya başlaması nedeniyle, İlmiye Sınıfı'nın ekonomik ve siyasi güçlerini kırarak devlet üzerindeki etkilerini yok etmek istedi?",İlmiye Sınıfı'nın,0.2591641360720012
II. Osman kimlerin devşirmelerle evlilik yapması yerine Türk ailelerinden kızları ile evlenmesini sağlamak istedi?,"II. Osman, saray geleneklerini değiştirerek artık kimlerin devşirmelerle evlilik yapması yerine Türk ailelerinden kızları ile evlenmesini sağlamak istedi?",padişah ve yakınlarının,0.647010710077099
